,headline,source,date
197,the market grapples with fear and the timing of a recovery,The New York Times,2020-04-17T09:00:19+0000
198,"trump’s dow-at-30,000 dream hurt america",The New York Times,2020-04-17T19:38:09+0000
199,how to handwash your clothes,The New York Times,2020-04-16T09:00:03+0000
200,"trump’s dow-at-30,000 dream hurt america",The New York Times,2020-04-17T19:38:09+0000
201,she visited her husband every day. then the visits stopped.,The New York Times,2020-04-17T09:00:19+0000
202,"coronavirus testing needs to triple before the u.s. can reopen, experts say",The New York Times,2020-04-18T03:35:55+0000
203,how many people have actually died from coronavirus in new york?,The New York Times,2020-04-10T07:00:08+0000
204,man charged with trying to blow up jewish assisted-living home,The New York Times,2020-04-17T01:26:06+0000
205,"cedric dixon, towering detective in harlem, dies at 48",The New York Times,2020-04-16T18:41:53+0000
206,trump encourages protest against governors who have imposed virus restrictions,The New York Times,2020-04-17T23:29:36+0000
207,"saudi cup, won by maximum security, puts hold on prize money",The New York Times,2020-04-13T18:16:45+0000
208,‘pacing and praying’: jailed youths seek release as virus spreads,The New York Times,2020-04-14T09:00:40+0000
209,"as bodies accumulate, so do fears of a high coronavirus toll in ecuador",The New York Times,2020-04-14T21:21:36+0000
210,how bubonic plague has helped russia fight the coronavirus,The New York Times,2020-04-15T15:33:27+0000
211,why are some people so much more infectious than others?,The New York Times,2020-04-12T09:00:11+0000
212,"when life gives you quarantine, plant potatoes",The New York Times,2020-04-15T09:00:15+0000
213,"‘corona-shamed’: george stephanopoulos, j. lo — maybe you?",The New York Times,2020-04-16T20:04:21+0000
214,"sex and the coronavirus: reader questions, answered",The New York Times,2020-04-10T09:00:08+0000
215,i harvest your food. why isn’t my health ‘essential’?,The New York Times,2020-04-15T09:00:37+0000
216,love letter: reunited after a long-distance marriage,The New York Times,2020-04-17T17:30:05+0000
217,pop music faces the coronavirus in prime time,The New York Times,2020-04-19T13:37:59+0000
218,competitive marble racing finds fans in a world missing sports,The New York Times,2020-04-18T18:31:45+0000
219,does widespread disinfecting kill the coronavirus? it’s under debate,The New York Times,2020-04-14T20:51:23+0000
220,impeachment taught trump all the wrong lessons,The New York Times,2020-04-19T19:00:08+0000
221,does the pandemic have a purpose?,The New York Times,2020-04-16T19:01:41+0000
222,who gets a ventilator?,The New York Times,2020-04-14T19:00:04+0000
223,auction houses postpone live sales and pivot to online,The New York Times,2020-04-19T17:28:12+0000
224,"trump’s pandemic tactics hurt cubans, too",The New York Times,2020-04-17T09:00:24+0000
225,how to save black and hispanic lives in a pandemic,The New York Times,2020-04-11T18:30:10+0000
226,"ferdi german, m.t.a. subway car inspector, dies at 41",The New York Times,2020-04-17T16:30:30+0000
227,mayor and governor disagree over school closure,The New York Times,2020-04-13T09:15:05+0000
228,moored in a fragile paradise,The New York Times,2020-04-17T21:04:10+0000
229,"‘they’re death pits’: virus claims at least 7,000 lives in u.s. nursing homes",The New York Times,2020-04-17T19:03:40+0000
230,"‘they’re death pits’: virus claims at least 7,000 lives in u.s. nursing homes",The New York Times,2020-04-17T19:03:40+0000
231,a tiny hospital struggles to treat a burst of coronavirus patients,The New York Times,2020-04-16T15:40:48+0000
232,70 died at a nursing home as body bags piled up. this is what went wrong.,The New York Times,2020-04-19T21:18:59+0000
233,our cruel treatment of animals led to the coronavirus,The New York Times,2020-04-13T19:00:09+0000
234,"new york appears to be ‘past the plateau’ of virus cases, cuomo says",The New York Times,2020-04-18T12:33:19+0000
235,the economic data is about to get weird,The New York Times,2020-04-18T07:14:41+0000
236,coronavirus tests science’s need for speed limits,The New York Times,2020-04-14T14:51:16+0000
237,coronavirus halts another u.k. ritual: birthday gun salute for queen,The New York Times,2020-04-18T12:26:15+0000
238,how does a new yawker tawk?,The New York Times,2020-04-16T09:00:16+0000
239,"‘people would be so receptive right now, and we can’t knock on doors.’",The New York Times,2020-04-19T09:00:09+0000
240,"‘people would be so receptive right now, and we can’t knock on doors.’",The New York Times,2020-04-19T09:00:09+0000
241,officials say c.d.c. errors caused testing delays,The New York Times,2020-04-18T09:09:29+0000
242,"weekly health quiz: coronavirus, masks and summer",The New York Times,2020-04-10T09:00:02+0000
243,what it will take to reopen new york,The New York Times,2020-04-17T23:26:27+0000
244,pope delivers easter message from closed st. peter’s basilica,Reuters,2020-04-12T19:18:58+0000
245,"we left new york with clothes, our cat and three bottles of disinfectant",The New York Times,2020-04-11T00:18:33+0000
246,"tokyo, in a state of emergency, yet still having drinks at a bar",The New York Times,2020-04-19T17:03:38+0000
247,that face shield might have been made in a party space,The New York Times,2020-04-19T09:00:15+0000
248,i took the antibody test. and yet.,The New York Times,2020-04-15T21:37:13+0000
249,how to profit in a stock market downturn,The New York Times,2020-04-16T11:00:07+0000
250,how to profit in a stock market downturn,The New York Times,2020-04-16T11:00:07+0000
251,to my husband in quarantine on day 18,The New York Times,2020-04-13T09:00:09+0000
252,2 art gallery shows to explore from home,The New York Times,2020-04-15T15:11:46+0000
253,burning man falls victim to pandemic,The New York Times,2020-04-11T04:03:42+0000
254,"flattening of curve in n.y. continues, cuomo says",AP,2020-04-12T15:15:31+0000
255,coronavirus fears terrify and impoverish migrants in the persian gulf,The New York Times,2020-04-13T14:02:42+0000
256,looking for a full sports calendar? try nicaragua,The New York Times,2020-04-14T09:00:43+0000
257,"‘turn around, go back’: summer islands don’t want coronavirus, or you",The New York Times,2020-04-19T09:00:16+0000
